umidade;temperatura;pressao;vento_ang;vent_veloc;chuva;corrente_fuga;A;B;C;K;Uc
70;29,6;1016;278;1,4;0;0,024992;0,08608373;0,074069868;5,799708303;1,499260522;24119,2704
69;29,7;1016;297;1,4;0;0,022767;0,08608373;0,070695857;5,846330131;1,503273903;25805,31545
70;29,8;1016;273;1,6;0;0,022607;0,08608373;0,070447004;5,849856394;1,503577457;25937,52914
68;29,8;1016;243;2,6;0;0,022426;0,08608373;0,070164425;5,85387569;1,503923453;26089,05394
68;29,7;1016;257;2,8;0;0,031797;0,08608373;0,08354763;5,679300217;1,488895345;20256,54987
69;29,9;1016;261;2,4;0;0,032152;0,08608373;0,084012723;5,673748861;1,488417464;20094,18717
67;29,9;1016;254;4,5;0;0,032233;0,08608373;0,084118482;5,672490804;1,488309165;20057,5733
68;29,9;1016;287;3,4;0;0,032337;0,08608373;0,084254077;5,670880147;1,488170514;20010,79482
68;29,9;1016;291;2,8;0;0,032357;0,08608373;0,084280128;5,670571;1,488143901;20001,82869
68;30;1016;254;2,6;0;0,03189;0,08608373;0,083669721;5,67783995;1,48876964;20213,71426
67;30,1;1016;258;2,6;0;0,032369;0,08608373;0,084295755;5,670385603;1,488127942;19996,45359
68;30,2;1016;263;2,6;0;0,032091;0,08608373;0,083932989;5,674698382;1,488499202;20121,86572
66;30,3;1016;305;1,6;0;0,031828;0,08608373;0,083588347;5,678812987;1,488853402;20242,24736
66;30,5;1016;233;2,6;0;0,032115;0,08608373;0,083964368;5,674324585;1,488467024;20110,96498
66;30,5;1016;334;2,2;0;0,03256;0,08608373;0,084544091;5,667443919;1,487874711;19911,35999
65;30,6;1016;285;1,8;0;0,032559;0,08608373;0,084542793;5,667459276;1,487876033;19911,80326
65;30,6;1016;276;2,8;0;0,032666;0,08608373;0,084681597;5,665818799;1,487734814;19864,50559
65;30,7;1016;258;2,2;0;0,032633;0,08608373;0,084638813;5,666324167;1,487778318;19879,06421
65;30,7;1016;294;4,9;0;0,032714;0,08608373;0,084743791;5,66508463;1,487671614;19843,37463
65;30,7;1016;264;3,2;0;0,033018;0,08608373;0,085136628;5,660459756;1,487273488;19710,77615
64;30,7;1016;270;2,4;0;0,03251;0,08608373;0,084479152;5,668212323;1,487940858;19933,55251
64;30,7;1016;242;3,4;0;0,032207;0,08608373;0,084084549;5,67289428;1,488343898;20069,3086
64;30,6;1016;247;1,8;0;0,032305;0,08608373;0,084212379;5,671375182;1,488213128;20025,16055
65;30,5;1016;273;1,2;0;0,032078;0,08608373;0,083915986;5,674900972;1,488516642;20127,77615
64;30,5;1016;300;1,4;0;0,032111;0,08608373;0,083959139;5,674386865;1,488472385;20112,7808
63;30,6;1016;332;1,2;0;0,032419;0,08608373;0,084360835;5,669613855;1,488061507;19974,09427
63;30,6;1016;260;1,4;0;0,03233;0,08608373;0,084244957;5,670988394;1,488179832;20013,93523
61;30,8;1016;298;2,4;0;0,03207;0,08608373;0,083905522;5,675025683;1,488527377;20131,4154
60;30,8;1016;277;2,6;0;0,031301;0,08608373;0,082893441;5,687161167;1,489572045;20488,70619
59;30,9;1016;249;2,2;0;0,032926;0,08608373;0,085017934;5,66185488;1,487393585;19750,68188
60;30,9;1016;277;1,4;0;0,032392;0,08608373;0,084325698;5,670030451;1,488097369;19986,16091
60;30,8;1016;267;2,8;0;0,032444;0,08608373;0,084393356;5,669228427;1,488028328;19962,9369
60;30,6;1016;289;3,7;0;0,032674;0,08608373;0,084691966;5,665696363;1,487724275;19860,98005
60;30,6;1016;282;1,8;0;0,038868;0,08608373;0,092371322;5,578900545;1,480252567;17512,59565
60;30,5;1016;282;1,2;0;0,032684;0,08608373;0,084704925;5,665543359;1,487711103;19856,57521
61;30,5;1016;287;2,6;0;0,032386;0,08608373;0,084317888;5,670123075;1,488105342;19988,84475
62;30,5;1016;259;1,8;0;0,03332;0,08608373;0,085525094;5,655907281;1,486881594;19581,11777
61;30,6;1016;265;2,4;0;0,03285;0,08608373;0,084919758;5,663010318;1,48749305;19783,79276
62;30,6;1016;303;1,4;0;0,032163;0,08608373;0,084027093;5,673577828;1,48840274;20089,20559
61;30,6;1016;255;2,2;0;0,032388;0,08608373;0,084320491;5,670092198;1,488102684;19987,95004
61;30,6;1016;262;1;0;0,032914;0,08608373;0,085002441;5,66203714;1,487409275;19755,90115
63;30,6;1016;0;1,8;0;0,032246;0,08608373;0,084135443;5,672289188;1,488291809;20051,71177
63;30,7;1016;357;3,7;0;0,033017;0,08608373;0,085135339;5,6604749;1,487274792;19711,20888
63;30,7;1016;353;2,6;0;0,032789;0,08608373;0,084840877;5,663939643;1,48757305;19810,46429
62;30,7;1016;332;2,8;0;0,03269;0,08608373;0,0847127;5,66545158;1,487703203;19853,93342
62;30,7;1016;305;2,8;0;0,03255;0,08608373;0,084531107;5,667597506;1,487887932;19915,79379
63;30,6;1016;16;3,6;0;0,032643;0,08608373;0,08465178;5,666170971;1,487765131;19874,64983
63;30,6;1016;27;2,6;0;0,032594;0,08608373;0,084588221;5,666922079;1,487829789;19896,30261
63;30,6;1016;24;3,4;0;0,032244;0,08608373;0,084132834;5,6723202;1,488294479;20052,61328
64;30,7;1016;45;2,4;0;0,031333;0,08608373;0,082935803;5,686650262;1,489528064;20473,5373
64;30,7;1016;315;2,4;0;0,031461;0,08608373;0,083105033;5,684611848;1,48935259;20413,12781
64;30,9;1016;345;1,8;0;0,032432;0,08608373;0,084377748;5,669413395;1,488044251;19968,29059
63;30,8;1016;20;1,4;0;0,031413;0,08608373;0,083041612;5,68537528;1,489418309;20435,73163
63;30,8;1016;6;3,2;0;0,032703;0,08608373;0,084729542;5,665252782;1,487686089;19848,21242
63;30,9;1016;25;2,6;0;0,032422;0,08608373;0,084364738;5,669567588;1,488057524;19972,75461
63;30,9;1016;319;1,6;0;0,032744;0,08608373;0,084782639;5,66462632;1,487632161;19830,1949
62;30,9;1016;340;2,2;0;0,032168;0,08608373;0,084033624;5,673500105;1,48839605;20086,9422
62;31;1016;43;2,6;0;0,032424;0,08608373;0,08436734;5,669536745;1,488054869;19971,86161
62;30,9;1016;12;2,8;0;0,032623;0,08608373;0,084625844;5,66647741;1,48779151;19883,48092
62;30,9;1016;5;3,9;0;0,032548;0,08608373;0,08452851;5,667628229;1,487890577;19916,68083
62;30,9;1016;44;3,4;0;0,03294;0,08608373;0,085036007;5,661642328;1,487375288;19744,59688
62;30,9;1016;55;3,9;0;0,032337;0,08608373;0,084254077;5,670880147;1,488170514;20010,79482
62;30,9;1016;40;2,6;0;0,03277;0,08608373;0,084816292;5,664229459;1,487597998;19818,78929
63;31;1016;50;2,6;0;0,034457;0,08608373;0,086972067;5,639130105;1,485437352;19110,60107
63;31;1016;45;1,6;0;0,034345;0,08608373;0,086830604;5,640757966;1,485577484;19155,75541
63;31,2;1016;265;1,8;0;0,032768;0,08608373;0,084813704;5,664259975;1,487600625;19819,66609
62;31,3;1016;288;2,4;0;0,033144;0,08608373;0,085298918;5,658555338;1,487109548;19656,43267
61;31,4;1016;285;2,2;0;0,032876;0,08608373;0,084953358;5,662614736;1,487458997;19772,45051
61;31,5;1016;222;1,2;0;0,032332;0,08608373;0,084247563;5,670957464;1,48817717;20013,03785
61;31,6;1016;353;1,2;0;0,032475;0,08608373;0,084433665;5,668750909;1,487987221;19949,12232
60;31,7;1016;176;1,2;0;0,031723;0,08608373;0,083450355;5,680465205;1,488995632;20290,78873
60;31,7;1016;339;1,4;0;0,031124;0,08608373;0,082658737;5,689996577;1,489816128;20573,09453
60;31,5;1016;18;2,4;0;0,032034;0,08608373;0,083858415;5,675587271;1,488575721;20147,81138
60;31,5;1016;293;2;0;0,031465;0,08608373;0,083110315;5,684548282;1,489347118;20411,24684
62;31,6;1016;18;3,4;0;0,033178;0,08608373;0,085342658;5,658042687;1,487065418;19641,82953
61;31,6;1016;20;2,6;0;0,03268;0,08608373;0,084699742;5,665604555;1,487716371;19858,33687
61;31,6;1016;3;1,4;0;0,03253;0,08608373;0,084505134;5,66790482;1,487914387;19924,66845
61;31,5;1016;43;2,8;0;0,032841;0,08608373;0,084908125;5,663147323;1,487504844;19787,72253
60;31,5;1016;1;2,2;0;0,033086;0,08608373;0,085224251;5,659431074;1,487184935;19681,40361
61;31,5;1016;299;1,2;0;0,032597;0,08608373;0,084592114;5,66687606;1,487825827;19894,97531
61;31,5;1016;353;1,8;0;0,033111;0,08608373;0,085256443;5,659053413;1,487152425;19670,63103
62;31,7;1016;304;1,6;0;0,032771;0,08608373;0,084817586;5,664214201;1,487596684;19818,35093
61;31,8;1016;301;0;0;0,032957;0,08608373;0,085057947;5,661384349;1,48735308;19737,21393
62;31,9;1016;343;2,4;0;0,033195;0,08608373;0,085364519;5,657786559;1,487043369;19634,53763
61;31,9;1016;4;3,6;0;0,032887;0,08608373;0,084967569;5,662447469;1,487444598;19767,65651
61;32;1016;353;2,2;0;0,034199;0,08608373;0,08664585;5,642887988;1,485760845;19214,99988
61;31,9;1016;12;2,8;0;0,032935;0,08608373;0,085029553;5,661718229;1,487381822;19746,76958
61;31,9;1016;36;2,6;0;0,032978;0,08608373;0,085085042;5,661065854;1,487325663;19728,10289
61;31,8;1016;51;3,7;0;0,033105;0,08608373;0,085248718;5,659144026;1,487160225;19673,21517
61;31,7;1016;350;2,2;0;0,031644;0,08608373;0,083346382;5,681711911;1,489102953;20327,49332
62;31,7;1016;31;1,6;0;0,032066;0,08608373;0,083900289;5,675088051;1,488532746;20133,2356
62;31,8;1016;353;2,4;0;0,032756;0,08608373;0,084798173;5,664443114;1,48761639;19824,92883
62;31,7;1016;79;1,6;0;0,032951;0,08608373;0,085050204;5,661475385;1,487360917;19739,81893
62;31,8;1016;342;3;0;0,033517;0,08608373;0,085777549;5,652959804;1,486627864;19497,62576
62;31,9;1016;37;3,4;0;0,03306;0,08608373;0,085190759;5,659824144;1,487218772;19692,62199
62;31,9;1016;6;1,8;0;0,033055;0,08608373;0,085184317;5,65989977;1,487225282;19694,78111
63;31,9;1016;21;2,4;0;0,033567;0,08608373;0,085841506;5,652214469;1,486563703;19476,56936
62;31,9;1016;88;2,4;0;0,033454;0,08608373;0,085696895;5,65390051;1,486708843;19524,23405
63;31,8;1016;59;3,7;0;0,033318;0,08608373;0,085522527;5,655937294;1,486884177;19581,96977
63;31,8;1016;357;2,8;0;0,033435;0,08608373;0,085672556;5,654184562;1,486733296;19532,27574
63;31,8;1016;48;4,7;0;0,033814;0,08608373;0,086156756;5,648548731;1,486248142;19373,33891
63;31,8;1016;88;1,8;0;0,034411;0,08608373;0,086913994;5,63979805;1,485494851;19129,11594
63;31,8;1016;57;3,4;0;0,033436;0,08608373;0,085673838;5,654169608;1,486732008;19531,85229
63;31,8;1016;45;3,6;0;0,033436;0,08608373;0,085673838;5,654169608;1,486732008;19531,85229
62;31,8;1016;55;5,1;0;0,034027;0,08608373;0,086427688;5,645409027;1,485977865;19285,35663
61;31,8;1016;48;2,4;0;0,033512;0,08608373;0,085771151;5,653034398;1,486634285;19499,73438
61;31,8;1016;30;3,4;0;0,033091;0,08608373;0,085230691;5,659355519;1,487178431;19679,24797
61;31,7;1016;61;3,6;0;0,033307;0,08608373;0,085508408;5,656102398;1,48689839;19586,65733
61;31,7;1016;67;4,5;0;0,032674;0,08608373;0,084691966;5,665696363;1,487724275;19860,98005
60;31,7;1016;52;4,5;0;0,032668;0,08608373;0,08468419;5,665788187;1,487732179;19863,62407
60;31,7;1016;70;2,6;0;0,033378;0,08608373;0,085599498;5,65503769;1,486806736;19556,44813
60;31,7;1016;43;4,1;0;0,034333;0,08608373;0,086815434;5,640932695;1,485592526;19160,60843
61;31,8;1016;36;4,7;0;0,0335;0,08608373;0,085755793;5,653213471;1,486649701;19504,79728
59;31,7;1016;41;4,7;0;0,033293;0,08608373;0,085490435;5,656312608;1,486916486;19592,62718
60;31,7;1016;43;2,6;0;0,033609;0,08608373;0,085895193;5,651589246;1,486509881;19458,92374
61;31,6;1016;73;3,4;0;0,033945;0,08608373;0,086323486;5,646615406;1,486081715;19319,11506
60;31,6;1016;51;3,7;0;0,033716;0,08608373;0,086031815;5,649999939;1,486373068;19414,1407
61;31,6;1016;56;3,4;0;0,033493;0,08608373;0,085746833;5,653317959;1,486658695;19507,75208
60;31,6;1016;64;3,6;0;0,033841;0,08608373;0,086191146;5,648149647;1,486213788;19362,1334
60;31,6;1016;61;4,5;0;0,034179;0,08608373;0,08662051;5,64318048;1,485786023;19223,14953
60;31,5;1016;24;3,9;0;0,034109;0,08608373;0,086531764;5,644205551;1,485874265;19251,73817
